Wall time,Step,Value
1683117468.174487,5,-1000.2925415039062
1683117469.971048,6,-1000.0180053710938
1683117477.3494353,10,-1000.3839111328125
1683117479.1641648,11,-1000.351318359375
1683117483.013738,13,-1000.179443359375
1683117484.8239224,14,-1000.197509765625
1683117486.6848743,15,-1000.0728149414062
1683117492.1402068,18,-1000.1896362304688
1683117493.8697097,19,-1000.0067138671875
1683117495.7274234,20,-1000.2448120117188
1683117503.134277,24,-1000.29052734375
1683117519.6754158,33,-1000.1570434570312
1683117525.1232238,36,-1000.2150268554688
1683117532.3889241,40,-1000.1893310546875
1683117536.0592976,42,-1000.4464721679688
1683117539.8065646,44,-1000.0211181640625
1683117541.7180812,45,-1000.1513671875
1683117545.476849,47,-1000.2243041992188
1683117549.100168,49,-1000.2744750976562
1683117550.9108808,50,-1000.0178833007812
1683117556.3060968,53,-1000.2504272460938
1683117558.0770357,54,-1000.3260498046875
1683117559.9187262,55,-1000.21484375
1683117561.6945612,56,-1000.2435302734375
1683117563.4109757,57,-1000.1632690429688
1683117570.83868,61,-1000.1781616210938
1683117574.5323813,63,-1000.3245239257812
1683117578.1350453,65,-1000.3357543945312
1683117579.9666038,66,-1000.0440673828125
1683117581.8162925,67,-1000.3411865234375
1683117583.6076288,68,-1000.0822143554688
1683117588.9849267,71,-1000.1367797851562
1683117590.7734847,72,-1000.2883911132812
1683117592.59501,73,-1000.0857543945312
1683117594.3971868,74,-1000.1582641601562
1683117603.700316,79,-1000.4578857421875
1683117612.7882504,84,-1000.2648315429688
1683117614.5458584,85,-1000.3973999023438
1683117618.2430785,87,-1000.0697631835938
1683117620.0313444,88,-1000.2786865234375
1683117621.890179,89,-1000.369384765625
1683117630.9907181,94,-1000.4059448242188
1683117645.4903085,102,-1000.1123046875
1683117650.8472362,105,-1000.1640014648438
1683117652.5825443,106,-1000.2333374023438
1683117665.4566312,113,-1000.2757568359375
1683117670.8521674,116,-1000.1019287109375
1683117674.423783,118,-1000.3785400390625
1683117685.1280518,124,-1000.3217163085938
1683117686.923338,125,-1000.466064453125
